doc Pairs 	hash similarity 	line similarity 	Link
input/730d7f11e42aebf5d9271673ed7e3af6_4_ShiftTacToe.java - input/9db397d35f4791bdc1e91669e7476707_6_ShiftTacToe.java	72.53141831238779	162	Link
input/2f6b47a952b77825e95a124e7b2733cd_19_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	72.45687091017251	114	Link
input/e4e9eec9f010822395614a2efcea7657_18_ShiftTacToe.java - input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java	72.44303126656068	117	Link
input/f6e6830a867e10ae5b243957ebc8f960_2_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	72.39738251041047	106	Link
input/f2ce9448bbd396a31167a703b429dcba_2_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	72.33789411064842	121	Link
input/9a3d8ae7a2b4dde2c820343622f57228_6_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	72.27840571088637	112	Link
input/96d1682f2b6c81d812b312804c6d1906_3_ShiftTacToe.java - input/9b6914294498cfa098110141fe202d20_4_ShiftTacToe.java	72.26890756302521	153	Link
input/730d7f11e42aebf5d9271673ed7e3af6_4_ShiftTacToe.java - input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java	72.17806041335453	123	Link
input/9b6914294498cfa098110141fe202d20_4_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	71.9214753123141	110	Link
input/e4e9eec9f010822395614a2efcea7657_18_ShiftTacToe.java - input/2f6b47a952b77825e95a124e7b2733cd_19_ShiftTacToe.java	71.91780821917808	157	Link
input/f7a882ba9262e489830a52a5b5b421f7_2_ShiftTacToe.java - input/e4e9eec9f010822395614a2efcea7657_18_ShiftTacToe.java	71.8232044198895	178	Link
input/62a5c4ade835649c72674e382f12c330_2_ShiftTacToe.java - input/9b6914294498cfa098110141fe202d20_4_ShiftTacToe.java	71.73913043478261	130	Link
input/96d1682f2b6c81d812b312804c6d1906_3_ShiftTacToe.java - input/62a5c4ade835649c72674e382f12c330_2_ShiftTacToe.java	71.69187145557656	137	Link
input/621c313bdb694cdcf20423d945aca818_4_ShiftTacToe.java - input/9b6914294498cfa098110141fe202d20_4_ShiftTacToe.java	71.5431627196333	150	Link
input/589cf3a984b500c2634e8e0623cec5ed_4_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	71.50505651397977	121	Link
input/621c313bdb694cdcf20423d945aca818_4_ShiftTacToe.java - input/62a5c4ade835649c72674e382f12c330_2_ShiftTacToe.java	71.50283553875236	130	Link
input/9b6914294498cfa098110141fe202d20_4_ShiftTacToe.java - input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java	71.43614202437732	111	Link
input/06984fed6eee7049dd84f5f9caaf019e_1_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	71.32659131469363	114	Link
input/96d1682f2b6c81d812b312804c6d1906_3_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	71.20761451516954	114	Link
input/fad06c12ac6ec9fdcf690d1b20ce4f1c_4_ShiftTacToe.java - input/9b6914294498cfa098110141fe202d20_4_ShiftTacToe.java	71.05052125100241	144	Link
input/61f0f60851037ee6f626120b690c5f03_1_ShiftTacToe.java - input/339ccebacc2434df9b5905d71ab9aca1_14_ShiftTacToe.java	70.71694599627561	142	Link
input/c7bd14fa1c4be4241a301f544e262b4a_1_ShiftTacToe.java - input/68422524eacdc14483ccfabbd4e55252_7_ShiftTacToe.java	70.65326633165829	126	Link
input/426f847f3fd6374bb79d168bc1837824_6_ShiftTacToe.java - input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java	70.53524112347641	114	Link
input/339ccebacc2434df9b5905d71ab9aca1_14_ShiftTacToe.java - input/589cf3a984b500c2634e8e0623cec5ed_4_ShiftTacToe.java	70.43761638733706	137	Link
input/671876dc67820e32d22c7beae566db0d_1_ShiftTacToe.java - input/9b6914294498cfa098110141fe202d20_4_ShiftTacToe.java	70.01204335608189	156	Link
